Date,Open,High,Low,Close,Adj Close,Volume
2020-03-23,57.230000,57.439999,54.000000,56.549999,53.796429,24905800
2020-03-24,62.610001,65.160004,61.000000,64.879997,61.720818,28286200
2020-03-25,66.830002,69.639999,63.490002,65.809998,62.605534,22977200
2020-03-26,66.709999,71.580002,66.250000,69.900002,66.496391,20997500
2020-03-27,66.680000,68.250000,64.820000,66.339996,63.109734,18950500
2020-03-30,66.559998,68.220001,64.580002,67.860001,64.555725,14199700
2020-03-31,67.180000,68.320000,65.309998,65.739998,62.538952,20109800
2020-04-01,63.000000,64.760002,61.580002,62.619999,59.570869,12880400
2020-04-02,65.750000,68.699997,62.910000,65.000000,61.834980,18175000
2020-04-03,64.470001,64.750000,60.900002,63.049999,59.979935,14676500
2020-04-06,66.269997,68.339996,64.410004,67.790001,64.489120,18010800
2020-04-07,71.570000,72.480003,68.330002,68.709999,65.364319,13799400
2020-04-08,69.580002,71.919998,68.540001,71.570000,68.085060,10417600
2020-04-09,71.199997,74.260002,70.139999,73.879997,70.282593,19748100
2020-04-13,73.519997,73.599998,70.349998,71.760002,68.265823,11191800
2020-04-14,73.690002,74.330002,72.660004,73.669998,70.082817,10912000
2020-04-15,72.010002,73.180000,70.709999,72.550003,69.017357,10642500
2020-04-16,73.110001,73.760002,71.349998,73.510002,69.930611,11946800
2020-04-17,76.620003,77.389999,74.970001,77.099998,73.345810,14268400
2020-04-20,76.019997,76.980003,75.080002,75.320000,71.652481,9684700
2020-04-21,73.400002,73.959999,71.739998,72.720001,69.179077,10345800
2020-04-22,74.550003,78.059998,74.430000,77.449997,73.678764,11347000
2020-04-23,77.330002,77.669998,74.260002,75.150002,71.490761,15513400
2020-04-24,75.750000,76.029999,74.209999,75.580002,71.899818,8456000
2020-04-27,76.680000,78.040001,76.540001,77.739998,73.954636,8258500
2020-04-28,78.669998,79.610001,76.959999,78.690002,74.858376,12801400
2020-04-29,78.180000,78.750000,76.720001,76.860001,73.117493,24575500
2020-04-30,76.830002,77.639999,75.190002,76.730003,72.993820,15186000
2020-05-01,74.900002,75.879997,73.209999,73.790001,70.196968,11216700
2020-05-04,72.580002,72.620003,71.260002,71.889999,68.389488,12921800
2020-05-05,74.959999,75.080002,72.889999,72.900002,69.350311,12976000
2020-05-06,73.769997,74.849998,72.860001,72.959999,69.407394,12740900
2020-05-07,73.809998,76.029999,73.370003,76.000000,72.707954,13360500
2020-05-08,77.250000,77.930000,75.760002,77.870003,74.496948,11917200
2020-05-11,76.620003,77.180000,75.800003,75.870003,72.583565,9004500
2020-05-12,76.000000,76.730003,74.339996,74.349998,71.129425,8549900
2020-05-13,74.459999,75.750000,72.919998,73.620003,70.431038,11532700
2020-05-14,72.320000,74.290001,70.650002,74.190002,70.976349,11932300
2020-05-15,72.809998,74.639999,72.669998,74.160004,70.947670,9489100
2020-05-18,76.860001,77.500000,76.199997,76.230003,72.927986,8903200
2020-05-19,76.400002,77.220001,75.760002,75.860001,72.574013,6484900
2020-05-20,77.230003,77.839996,76.519997,77.760002,74.391724,7790500
2020-05-21,78.599998,79.379997,77.889999,78.050003,74.669151,10312600
2020-05-22,77.900002,78.050003,76.519997,77.620003,74.257782,7653300
2020-05-26,79.599998,79.919998,77.580002,77.760002,74.391724,8422200
2020-05-27,78.980003,78.980003,77.389999,78.599998,75.195328,8245300
2020-05-28,78.639999,80.059998,77.930000,78.540001,75.137932,8331400
2020-05-29,78.620003,78.639999,77.260002,77.989998,74.611755,10043600
2020-06-01,77.660004,78.650002,76.769997,78.320000,74.927444,7922000
2020-06-02,77.970001,78.260002,76.790001,77.779999,74.410851,9521000
2020-06-03,78.449997,79.949997,78.300003,79.580002,76.132874,9956700
2020-06-04,79.309998,80.169998,78.470001,78.739998,75.329269,7667600
2020-06-05,80.330002,82.330002,79.970001,82.139999,78.581978,12030800
2020-06-08,83.080002,83.620003,82.180000,83.559998,79.940483,10229600
2020-06-09,82.620003,83.220001,81.760002,82.370003,78.802017,7999800
2020-06-10,79.879997,80.029999,78.199997,79.010002,75.587563,19683800
2020-06-11,75.750000,76.790001,72.150002,72.570000,69.426521,26422200
2020-06-12,75.000000,76.720001,73.809998,76.379997,73.071480,18529800
2020-06-15,74.300003,77.910004,74.080002,76.959999,73.626358,14644700
2020-06-16,78.790001,78.940002,76.389999,77.839996,74.468239,10890100
2020-06-17,78.070000,78.290001,76.680000,77.099998,73.760292,6906700
2020-06-18,76.720001,76.790001,75.800003,76.309998,73.004532,8486000
2020-06-19,77.029999,77.379997,74.879997,75.400002,72.133934,12538600
2020-06-22,74.900002,75.650002,73.919998,75.400002,72.133934,8238600
2020-06-23,76.330002,76.370003,75.070000,75.489998,72.220032,8076600
2020-06-24,74.900002,74.919998,72.000000,73.639999,70.450165,12306400
2020-06-25,73.220001,74.110001,72.169998,73.849998,70.651070,8624800
2020-06-26,73.629997,73.769997,71.250000,71.570000,68.469826,17627800
2020-06-29,71.410004,73.500000,71.059998,73.480003,70.297104,8653000
2020-06-30,73.580002,73.879997,72.809998,73.589996,70.402336,11324000
2020-07-01,74.000000,74.690002,73.379997,74.029999,70.823280,6750000
2020-07-02,75.040001,75.089996,73.639999,73.779999,70.584099,6544400
2020-07-06,74.930000,75.480003,74.160004,75.440002,72.172203,7235300
2020-07-07,75.129997,75.230003,74.000000,74.250000,71.033745,7515100
2020-07-08,74.070000,74.500000,73.330002,74.139999,70.928520,7346200
2020-07-09,73.730003,74.220001,71.930000,73.570000,70.383209,9618200
2020-07-10,73.000000,74.559998,72.739998,74.290001,71.072014,7524200
2020-07-13,74.559998,74.839996,72.489998,72.650002,69.503052,9464500
2020-07-14,72.000000,72.970001,71.820000,72.730003,69.579613,8780900
